List,Title,Submitted_By,Submitted_Date,Reporting_Period_Start,Reporting_Period_End,OFSA_Dimension,Food_System_Sector,Partner_Sector,Lead_Role,Per_List_Field_1,Per_List_Field_2,Notes
Food Entrepreneurs List,Newark Eats LLC — onboarding,L. Reyes (Logistics),2026-03-15,2026-03-01,2026-03-31,Agency;Availability,Processing,Food Enterprise,HARVEST Lead,Stage=Onboarding,Business_Name=Newark Eats LLC,First member of founding cohort.
Food Entrepreneurs List,Casa Sabor — onboarding,L. Reyes (Logistics),2026-03-22,2026-03-01,2026-03-31,Agency,Processing,Food Enterprise,HARVEST Lead,Stage=Onboarding,Business_Name=Casa Sabor,Multilingual onboarding.
Institution List,RWJBH Newark — Q1 PO,A. Capece (Director),2026-03-31,2026-01-01,2026-03-31,Access;Availability,Distribution,Healthcare,Joint,Activity_Type=Purchase Order,PO_Value_USD=8500,First institutional PO.
Community Orgs List,Open House — March,J. Tran (Outreach),2026-03-22,2026-03-22,2026-03-22,Agency;Access,n/a,Community-Based Org,HARVEST Lead,Event_Type=HARVEST-Hosted Event,Attendance_Count=62,First public open house.
Community Orgs List,Teaching Kitchen — Diabetes Friendly,J. Tran (Outreach),2026-04-05,2026-04-05,2026-04-05,Utilization;Agency,n/a,Community-Based Org,HARVEST Lead,Event_Type=Teaching Kitchen,Attendance_Count=18,RD-led; 12-week series start.
Investors-Funders List,Whole Cities Foundation — 2026 grant,A. Capece (Director),2026-02-12,2026-01-01,2026-12-31,Stability,n/a,Philanthropy,HARVEST Lead,Activity_Type=Grant,Amount_USD=75000,Anchor 2026 grant.
Investors-Funders List,JSC — January 2026,A. Capece (Director),2026-01-18,2026-01-18,2026-01-18,Stability,n/a,Philanthropy,Joint,Activity_Type=JSC Meeting,,Reviewed Q4 2025 ops.
Farmers List,Greenfields Farm — March 2026,R. Owens (UAC),2026-04-03,2026-03-01,2026-03-31,Availability;Access;Agency,Aggregation,Agriculture,UAC Lead,Farm_Name=Greenfields Farm,Produce_lbs=480,Sussex County NJ source.
Farmers List,Sunrise Acres — March 2026,R. Owens (UAC),2026-04-03,2026-03-01,2026-03-31,Availability;Access;Stability,Aggregation,Agriculture,UAC Lead,Farm_Name=Sunrise Acres,Produce_lbs=320,Value-added hot sauce.
Environmental List,Week 12 — waste diverted,L. Reyes (Logistics),2026-03-21,2026-03-15,2026-03-21,Sustainability,Recovery-Waste,Community-Based Org,HARVEST Lead,Activity_Type=Food Waste Diverted,lbs_Value=85,On-site compost.
Environmental List,Open House — donation to Bridges,J. Tran (Outreach),2026-03-22,2026-03-22,2026-03-22,Sustainability;Access,Recovery-Waste,Community-Based Org,HARVEST Lead,Activity_Type=Food Waste Diverted,lbs_Value=24,Donated to Bridges.
